rank,probe_dir,pair_id,steer_target,predicted,correct,sim_high_ref,sim_low_ref,margin,sim_to_predicted,judge_closer,tie
21,probe_checkpoints.withRegularGullibility,sol-00116,low,high,False,1.0000,0.2000,+0.8000,1.0000,high,False
22,probe_checkpoints.withDefense484Only,sol-00139,high,low,False,0.0000,1.0000,-1.0000,1.0000,low,False
23,probe_checkpoints.withDefense484Only,sol-00143,low,low,True,0.1000,1.0000,-0.9000,1.0000,low,False
24,probe_checkpoints.withDefense484Only,sol-00146,high,high,True,1.0000,0.0000,+1.0000,1.0000,high,False
25,probe_checkpoints.withDefense484Only,sol-00148,high,high,True,1.0000,0.0000,+1.0000,1.0000,high,False
26,probe_checkpoints.withDefense484Only,sol-00156,low,low,True,0.1000,1.0000,-0.9000,1.0000,low,False
27,probe_checkpoints.withDefense484Only,sol-00180,low,low,True,0.0000,1.0000,-1.0000,1.0000,low,False
28,probe_checkpoints.withDefense484Only,sol-00186,low,low,True,0.0000,1.0000,-1.0000,1.0000,low,False
29,probe_checkpoints.withDefense484Only,sol-00206,low,low,True,0.0000,1.0000,-1.0000,1.0000,low,False
30,probe_checkpoints.withDefense484Only,sol-00209,low,high,False,1.0000,0.0000,+1.0000,1.0000,high,False
31,probe_checkpoints.withDefense484Only,sol-00231,high,high,True,1.0000,0.1000,+0.9000,1.0000,high,False
32,probe_checkpoints.withDefense484Only,sol-00235,low,low,True,0.0000,1.0000,-1.0000,1.0000,low,False
33,probe_checkpoints.withRegularGullibility,sol-00236,high,high,True,1.0000,0.0000,+1.0000,1.0000,high,False
34,probe_checkpoints.withDefense484Only,sol-00242,low,high,False,1.0000,0.0000,+1.0000,1.0000,high,False
35,probe_checkpoints.withDefense484Only,sol-00242,high,high,True,1.0000,0.0000,+1.0000,1.0000,high,False
36,probe_checkpoints.withDefense484Only,sol-00248,low,low,True,0.0000,1.0000,-1.0000,1.0000,low,False
37,probe_checkpoints.withRegularGullibility,sol-00249,high,high,True,1.0000,0.2000,+0.8000,1.0000,high,False
38,probe_checkpoints.withRegularGullibility,sol-00253,low,low,True,0.0000,1.0000,-1.0000,1.0000,low,False
39,probe_checkpoints.withDefense484Only,sol-00254,low,high,False,1.0000,0.0000,+1.0000,1.0000,high,False
40,probe_checkpoints.withRegularGullibility,sol-00256,high,low,False,0.0000,1.0000,-1.0000,1.0000,low,False
41,probe_checkpoints.withRegularGullibility,sol-00265,high,high,True,1.0000,0.0000,+1.0000,1.0000,high,False
42,probe_checkpoints.withDefense484Only,sol-00292,low,high,False,1.0000,0.0000,+1.0000,1.0000,high,False
43,probe_checkpoints.withDefense484Only,sol-00292,high,high,True,1.0000,0.0000,+1.0000,1.0000,high,False
44,probe_checkpoints.withDefense484Only,sol-00303,low,low,True,0.0000,1.0000,-1.0000,1.0000,low,False
45,probe_checkpoints.withDefense484Only,sol-00304,low,low,True,0.0000,1.0000,-1.0000,1.0000,low,False
46,probe_checkpoints.withRegularGullibility,sol-00325,low,low,True,0.0000,1.0000,-1.0000,1.0000,low,False
47,probe_checkpoints.withDefense484Only,sol-00328,low,low,True,0.0000,1.0000,-1.0000,1.0000,low,False
48,probe_checkpoints.withDefense484Only,sol-00340,high,high,True,1.0000,0.0000,+1.0000,1.0000,high,False
49,probe_checkpoints.withRegularGullibility,sol-00340,high,high,True,1.0000,0.0000,+1.0000,1.0000,high,False
50,probe_checkpoints.withRegularGullibility,sol-00345,high,high,True,1.0000,0.0000,+1.0000,1.0000,high,False
51,probe_checkpoints.withDefense484Only,sol-00350,low,low,True,0.0000,1.0000,-1.0000,1.0000,low,False
52,probe_checkpoints.withDefense484Only,sol-00364,low,low,True,0.0000,1.0000,-1.0000,1.0000,low,False
53,probe_checkpoints.withDefense484Only,sol-00364,high,low,False,0.0000,1.0000,-1.0000,1.0000,low,False
54,probe_checkpoints.withRegularGullibility,sol-00364,low,low,True,0.0000,1.0000,-1.0000,1.0000,low,False
55,probe_checkpoints.withRegularGullibility,sol-00002,low,high,False,0.9500,0.1500,+0.8000,0.9500,high,False
56,probe_checkpoints.withDefense484Only,sol-00009,low,high,False,0.9500,0.3000,+0.6500,0.9500,high,False
57,probe_checkpoints.withRegularGullibility,sol-00009,low,high,False,0.9500,0.3000,+0.6500,0.9500,high,False
58,probe_checkpoints.withRegularGullibility,sol-00009,high,high,True,0.9500,0.4000,+0.5500,0.9500,high,False
59,probe_checkpoints.withRegularGullibility,sol-00013,low,high,False,0.9500,0.5000,+0.4500,0.9500,high,False
60,probe_checkpoints.withDefense484Only,sol-00014,high,low,False,0.2000,0.9500,-0.7500,0.9500,low,False
61,probe_checkpoints.withRegularGullibility,sol-00018,low,high,False,0.9500,0.5000,+0.4500,0.9500,high,False
62,probe_checkpoints.withDefense484Only,sol-00025,low,high,False,0.9500,0.9000,+0.0500,0.9500,high,False
63,probe_checkpoints.withRegularGullibility,sol-00025,low,high,False,0.9500,0.1000,+0.8500,0.9500,high,False
64,probe_checkpoints.withRegularGullibility,sol-00025,high,low,False,0.2000,0.9500,-0.7500,0.9500,low,False
65,probe_checkpoints.withDefense484Only,sol-00026,low,high,False,0.9500,0.2000,+0.7500,0.9500,high,False
66,probe_checkpoints.withDefense484Only,sol-00028,low,low,True,0.8500,0.9500,-0.1000,0.9500,low,False
67,probe_checkpoints.withDefense484Only,sol-00028,high,low,False,0.7500,0.9500,-0.2000,0.9500,low,False
68,probe_checkpoints.withRegularGullibility,sol-00028,low,low,True,0.7500,0.9500,-0.2000,0.9500,low,False
69,probe_checkpoints.withRegularGullibility,sol-00028,high,low,False,0.5500,0.9500,-0.4000,0.9500,low,False
70,probe_checkpoints.withRegularGullibility,sol-00040,low,high,False,0.9500,0.2000,+0.7500,0.9500,high,False
71,probe_checkpoints.withRegularGullibility,sol-00040,high,high,True,0.9500,0.1500,+0.8000,0.9500,high,False
72,probe_checkpoints.withDefense484Only,sol-00041,low,high,False,0.9500,0.0000,+0.9500,0.9500,high,False
73,probe_checkpoints.withDefense484Only,sol-00041,high,high,True,0.9500,0.1000,+0.8500,0.9500,high,False
74,probe_checkpoints.withRegularGullibility,sol-00041,low,high,False,0.9500,0.2000,+0.7500,0.9500,high,False
75,probe_checkpoints.withRegularGullibility,sol-00041,high,high,True,0.9500,0.1000,+0.8500,0.9500,high,False
76,probe_checkpoints.withDefense484Only,sol-00045,low,high,False,0.9500,0.5500,+0.4000,0.9500,high,False
77,probe_checkpoints.withRegularGullibility,sol-00047,high,low,False,0.5500,0.9500,-0.4000,0.9500,low,False
78,probe_checkpoints.withDefense484Only,sol-00049,low,high,False,0.9500,0.1500,+0.8000,0.9500,high,False
79,probe_checkpoints.withDefense484Only,sol-00051,low,high,False,0.9500,0.0000,+0.9500,0.9500,high,False
80,probe_checkpoints.withRegularGullibility,sol-00053,high,low,False,0.3000,0.9500,-0.6500,0.9500,low,False
81,probe_checkpoints.withDefense484Only,sol-00054,high,low,False,0.7500,0.9500,-0.2000,0.9500,low,False
82,probe_checkpoints.withDefense484Only,sol-00057,low,high,False,0.9500,0.5000,+0.4500,0.9500,high,False
83,probe_checkpoints.withDefense484Only,sol-00058,low,high,False,0.9500,0.2000,+0.7500,0.9500,high,False
84,probe_checkpoints.withDefense484Only,sol-00072,low,high,False,0.9500,0.3000,+0.6500,0.9500,high,False
85,probe_checkpoints.withRegularGullibility,sol-00079,low,high,False,0.9500,0.8500,+0.1000,0.9500,high,False
86,probe_checkpoints.withDefense484Only,sol-00082,high,low,False,0.2000,0.9500,-0.7500,0.9500,low,False
87,probe_checkpoints.withRegularGullibility,sol-00082,low,low,True,0.8500,0.9500,-0.1000,0.9500,low,False
88,probe_checkpoints.withRegularGullibility,sol-00082,high,low,False,0.5500,0.9500,-0.4000,0.9500,low,False
89,probe_checkpoints.withRegularGullibility,sol-00083,high,low,False,0.1500,0.9500,-0.8000,0.9500,low,False
90,probe_checkpoints.withDefense484Only,sol-00093,low,high,False,0.9500,0.1500,+0.8000,0.9500,high,False
91,probe_checkpoints.withDefense484Only,sol-00097,low,high,False,0.9500,0.2000,+0.7500,0.9500,high,False
92,probe_checkpoints.withDefense484Only,sol-00097,high,high,True,0.9500,0.1500,+0.8000,0.9500,high,False
93,probe_checkpoints.withRegularGullibility,sol-00097,low,high,False,0.9500,0.3000,+0.6500,0.9500,high,False
94,probe_checkpoints.withRegularGullibility,sol-00097,high,high,True,0.9500,0.1000,+0.8500,0.9500,high,False
95,probe_checkpoints.withDefense484Only,sol-00107,low,high,False,0.9500,0.5000,+0.4500,0.9500,high,False
96,probe_checkpoints.withRegularGullibility,sol-00107,low,high,False,0.9500,0.5000,+0.4500,0.9500,high,False
97,probe_checkpoints.withRegularGullibility,sol-00107,high,high,True,0.9500,0.2000,+0.7500,0.9500,high,False
98,probe_checkpoints.withDefense484Only,sol-00114,low,high,False,0.9500,0.1000,+0.8500,0.9500,high,False
99,probe_checkpoints.withDefense484Only,sol-00126,low,high,False,0.9500,0.1000,+0.8500,0.9500,high,False
100,probe_checkpoints.withRegularGullibility,sol-00128,low,high,False,0.9500,0.5000,+0.4500,0.9500,high,False
101,probe_checkpoints.withRegularGullibility,sol-00131,low,high,False,0.9500,0.5000,+0.4500,0.9500,high,False
102,probe_checkpoints.withDefense484Only,sol-00138,low,high,False,0.9500,0.2000,+0.7500,0.9500,high,False
103,probe_checkpoints.withRegularGullibility,sol-00138,low,high,False,0.9500,0.2000,+0.7500,0.9500,high,False
104,probe_checkpoints.withDefense484Only,sol-00145,high,low,False,0.8500,0.9500,-0.1000,0.9500,low,False
105,probe_checkpoints.withRegularGullibility,sol-00145,low,low,True,0.8500,0.9500,-0.1000,0.9500,low,False
106,probe_checkpoints.withRegularGullibility,sol-00148,low,high,False,0.9500,0.5000,+0.4500,0.9500,high,False
107,probe_checkpoints.withDefense484Only,sol-00151,low,high,False,0.9500,0.3000,+0.6500,0.9500,high,False
108,probe_checkpoints.withDefense484Only,sol-00152,low,high,False,0.9500,0.8500,+0.1000,0.9500,high,False
109,probe_checkpoints.withRegularGullibility,sol-00152,low,low,True,0.8500,0.9500,-0.1000,0.9500,low,False
110,probe_checkpoints.withRegularGullibility,sol-00158,low,high,False,0.9500,0.2000,+0.7500,0.9500,high,False
111,probe_checkpoints.withDefense484Only,sol-00170,low,high,False,0.9500,0.5000,+0.4500,0.9500,high,False
112,probe_checkpoints.withRegularGullibility,sol-00170,low,high,False,0.9500,0.5500,+0.4000,0.9500,high,False
113,probe_checkpoints.withRegularGullibility,sol-00172,low,high,False,0.9500,0.2000,+0.7500,0.9500,high,False
114,probe_checkpoints.withRegularGullibility,sol-00172,high,low,False,0.8500,0.9500,-0.1000,0.9500,low,False
115,probe_checkpoints.withDefense484Only,sol-00175,low,high,False,0.9500,0.1500,+0.8000,0.9500,high,False
116,probe_checkpoints.withDefense484Only,sol-00180,high,low,False,0.2000,0.9500,-0.7500,0.9500,low,False
117,probe_checkpoints.withRegularGullibility,sol-00180,low,low,True,0.3000,0.9500,-0.6500,0.9500,low,False
118,probe_checkpoints.withRegularGullibility,sol-00180,high,low,False,0.2000,0.9500,-0.7500,0.9500,low,False
119,probe_checkpoints.withDefense484Only,sol-00181,low,high,False,0.9500,0.2000,+0.7500,0.9500,high,False
120,probe_checkpoints.withRegularGullibility,sol-00181,low,high,False,0.9500,0.5500,+0.4000,0.9500,high,False
121,probe_checkpoints.withRegularGullibility,sol-00181,high,high,True,0.9500,0.5500,+0.4000,0.9500,high,False
122,probe_checkpoints.withDefense484Only,sol-00182,low,high,False,0.9500,0.1000,+0.8500,0.9500,high,False
123,probe_checkpoints.withDefense484Only,sol-00183,low,high,False,0.9500,0.1500,+0.8000,0.9500,high,False
124,probe_checkpoints.withRegularGullibility,sol-00188,high,low,False,0.3000,0.9500,-0.6500,0.9500,low,False
125,probe_checkpoints.withRegularGullibility,sol-00194,low,high,False,0.9500,0.2000,+0.7500,0.9500,high,False
126,probe_checkpoints.withRegularGullibility,sol-00197,low,high,False,0.9500,0.7000,+0.2500,0.9500,high,False
127,probe_checkpoints.withDefense484Only,sol-00201,low,high,False,0.9500,0.2000,+0.7500,0.9500,high,False
128,probe_checkpoints.withRegularGullibility,sol-00201,low,high,False,0.9500,0.2000,+0.7500,0.9500,high,False
129,probe_checkpoints.withDefense484Only,sol-00203,low,high,False,0.9500,0.8500,+0.1000,0.9500,high,False
130,probe_checkpoints.withDefense484Only,sol-00205,low,high,False,0.9500,0.2000,+0.7500,0.9500,high,False
131,probe_checkpoints.withRegularGullibility,sol-00206,low,low,True,0.8500,0.9500,-0.1000,0.9500,low,False
132,probe_checkpoints.withRegularGullibility,sol-00206,high,low,False,0.7500,0.9500,-0.2000,0.9500,low,False
133,probe_checkpoints.withRegularGullibility,sol-00207,low,high,False,0.9500,0.2000,+0.7500,0.9500,high,False
134,probe_checkpoints.withDefense484Only,sol-00208,low,high,False,0.9500,0.2000,+0.7500,0.9500,high,False
135,probe_checkpoints.withRegularGullibility,sol-00208,low,high,False,0.9500,0.2000,+0.7500,0.9500,high,False
136,probe_checkpoints.withRegularGullibility,sol-00209,low,high,False,0.9500,0.3000,+0.6500,0.9500,high,False
137,probe_checkpoints.withDefense484Only,sol-00212,low,high,False,0.9500,0.8500,+0.1000,0.9500,high,False
138,probe_checkpoints.withRegularGullibility,sol-00212,low,low,True,0.8500,0.9500,-0.1000,0.9500,low,False
139,probe_checkpoints.withRegularGullibility,sol-00212,high,high,True,0.9500,0.8500,+0.1000,0.9500,high,False
140,probe_checkpoints.withDefense484Only,sol-00224,low,high,False,0.9500,0.5000,+0.4500,0.9500,high,False
141,probe_checkpoints.withDefense484Only,sol-00232,low,high,False,0.9500,0.5000,+0.4500,0.9500,high,False
142,probe_checkpoints.withRegularGullibility,sol-00242,low,high,False,0.9500,0.2000,+0.7500,0.9500,high,False
143,probe_checkpoints.withDefense484Only,sol-00247,low,high,False,0.9500,0.1000,+0.8500,0.9500,high,False
144,probe_checkpoints.withRegularGullibility,sol-00247,low,low,True,0.8500,0.9500,-0.1000,0.9500,low,False
145,probe_checkpoints.withDefense484Only,sol-00249,low,high,False,0.9500,0.2000,+0.7500,0.9500,high,False
146,probe_checkpoints.withRegularGullibility,sol-00250,low,low,True,0.2000,0.9500,-0.7500,0.9500,low,False
147,probe_checkpoints.withDefense484Only,sol-00252,low,high,False,0.9500,0.1500,+0.8000,0.9500,high,False
148,probe_checkpoints.withDefense484Only,sol-00259,low,high,False,0.9500,0.5000,+0.4500,0.9500,high,False
149,probe_checkpoints.withDefense484Only,sol-00266,low,high,False,0.9500,0.2000,+0.7500,0.9500,high,False
150,probe_checkpoints.withDefense484Only,sol-00270,low,high,False,0.9500,0.2000,+0.7500,0.9500,high,False
151,probe_checkpoints.withDefense484Only,sol-00272,low,high,False,0.9500,0.5000,+0.4500,0.9500,high,False
152,probe_checkpoints.withRegularGullibility,sol-00272,low,high,False,0.9500,0.5000,+0.4500,0.9500,high,False
153,probe_checkpoints.withDefense484Only,sol-00275,low,high,False,0.9500,0.2000,+0.7500,0.9500,high,False
154,probe_checkpoints.withDefense484Only,sol-00277,low,high,False,0.9500,0.0500,+0.9000,0.9500,high,False
155,probe_checkpoints.withDefense484Only,sol-00279,low,high,False,0.9500,0.5500,+0.4000,0.9500,high,False
156,probe_checkpoints.withRegularGullibility,sol-00279,low,high,False,0.9500,0.7000,+0.2500,0.9500,high,False
157,probe_checkpoints.withDefense484Only,sol-00284,low,high,False,0.9500,0.2000,+0.7500,0.9500,high,False
158,probe_checkpoints.withRegularGullibility,sol-00290,low,high,False,0.9500,0.2000,+0.7500,0.9500,high,False
159,probe_checkpoints.withRegularGullibility,sol-00292,low,high,False,0.9500,0.1000,+0.8500,0.9500,high,False
160,probe_checkpoints.withDefense484Only,sol-00297,low,high,False,0.9500,0.2000,+0.7500,0.9500,high,False
161,probe_checkpoints.withRegularGullibility,sol-00298,low,low,True,0.3000,0.9500,-0.6500,0.9500,low,False
162,probe_checkpoints.withRegularGullibility,sol-00300,low,high,False,0.9500,0.9000,+0.0500,0.9500,high,False
163,probe_checkpoints.withDefense484Only,sol-00307,low,high,False,0.9500,0.1000,+0.8500,0.9500,high,False
164,probe_checkpoints.withDefense484Only,sol-00311,low,high,False,0.9500,0.7000,+0.2500,0.9500,high,False
165,probe_checkpoints.withRegularGullibility,sol-00312,high,low,False,0.3000,0.9500,-0.6500,0.9500,low,False
166,probe_checkpoints.withDefense484Only,sol-00327,high,low,False,0.2000,0.9500,-0.7500,0.9500,low,False
167,probe_checkpoints.withDefense484Only,sol-00328,high,low,False,0.7500,0.9500,-0.2000,0.9500,low,False
168,probe_checkpoints.withRegularGullibility,sol-00328,low,low,True,0.7500,0.9500,-0.2000,0.9500,low,False
169,probe_checkpoints.withRegularGullibility,sol-00328,high,low,False,0.5500,0.9500,-0.4000,0.9500,low,False
170,probe_checkpoints.withDefense484Only,sol-00334,low,high,False,0.9500,0.1500,+0.8000,0.9500,high,False
171,probe_checkpoints.withDefense484Only,sol-00340,low,high,False,0.9500,0.1000,+0.8500,0.9500,high,False
172,probe_checkpoints.withRegularGullibility,sol-00341,low,high,False,0.9500,0.5000,+0.4500,0.9500,high,False
173,probe_checkpoints.withRegularGullibility,sol-00341,high,high,True,0.9500,0.7000,+0.2500,0.9500,high,False
174,probe_checkpoints.withDefense484Only,sol-00342,low,high,False,0.9500,0.5000,+0.4500,0.9500,high,False
175,probe_checkpoints.withRegularGullibility,sol-00348,high,low,False,0.5500,0.9500,-0.4000,0.9500,low,False
176,probe_checkpoints.withRegularGullibility,sol-00356,low,high,False,0.9500,0.1000,+0.8500,0.9500,high,False
177,probe_checkpoints.withDefense484Only,sol-00359,high,low,False,0.5500,0.9500,-0.4000,0.9500,low,False
178,probe_checkpoints.withDefense484Only,sol-00363,low,high,False,0.9500,0.2000,+0.7500,0.9500,high,False
179,probe_checkpoints.withRegularGullibility,sol-00363,low,high,False,0.9500,0.2000,+0.7500,0.9500,high,False
180,probe_checkpoints.withRegularGullibility,sol-00372,low,high,False,0.9500,0.8500,+0.1000,0.9500,high,False
181,probe_checkpoints.withRegularGullibility,sol-00375,low,high,False,0.9500,0.2000,+0.7500,0.9500,high,False
182,probe_checkpoints.withDefense484Only,sol-00376,low,low,True,0.8500,0.9500,-0.1000,0.9500,low,False
183,probe_checkpoints.withDefense484Only,sol-00379,low,high,False,0.9500,0.8500,+0.1000,0.9500,high,False
184,probe_checkpoints.withDefense484Only,sol-00022,high,low,False,0.3000,0.9000,-0.6000,0.9000,low,False
185,probe_checkpoints.withDefense484Only,sol-00027,high,low,False,0.3000,0.9000,-0.6000,0.9000,low,False
186,probe_checkpoints.withDefense484Only,sol-00031,low,low,True,0.1000,0.9000,-0.8000,0.9000,low,False
187,probe_checkpoints.withDefense484Only,sol-00040,low,high,False,0.9000,0.2000,+0.7000,0.9000,high,False
188,probe_checkpoints.withDefense484Only,sol-00047,high,low,False,0.3000,0.9000,-0.6000,0.9000,low,False
189,probe_checkpoints.withDefense484Only,sol-00051,high,low,False,0.2000,0.9000,-0.7000,0.9000,low,False
190,probe_checkpoints.withRegularGullibility,sol-00068,low,low,True,0.5000,0.9000,-0.4000,0.9000,low,False
191,probe_checkpoints.withDefense484Only,sol-00125,low,low,True,0.2000,0.9000,-0.7000,0.9000,low,False
192,probe_checkpoints.withRegularGullibility,sol-00125,high,low,False,0.3000,0.9000,-0.6000,0.9000,low,False
193,probe_checkpoints.withDefense484Only,sol-00182,high,low,False,0.3000,0.9000,-0.6000,0.9000,low,False
194,probe_checkpoints.withRegularGullibility,sol-00188,low,low,True,0.3000,0.9000,-0.6000,0.9000,low,False
195,probe_checkpoints.withDefense484Only,sol-00212,high,low,False,0.5000,0.9000,-0.4000,0.9000,low,False
196,probe_checkpoints.withDefense484Only,sol-00229,low,low,True,0.3000,0.9000,-0.6000,0.9000,low,False
197,probe_checkpoints.withDefense484Only,sol-00229,high,low,False,0.3000,0.9000,-0.6000,0.9000,low,False
198,probe_checkpoints.withDefense484Only,sol-00247,high,low,False,0.7500,0.9000,-0.1500,0.9000,low,False
199,probe_checkpoints.withRegularGullibility,sol-00276,high,low,False,0.5500,0.9000,-0.3500,0.9000,low,False
200,probe_checkpoints.withDefense484Only,sol-00327,low,low,True,0.1000,0.9000,-0.8000,0.9000,low,False
201,probe_checkpoints.withRegularGullibility,sol-00327,high,low,False,0.2500,0.9000,-0.6500,0.9000,low,False
202,probe_checkpoints.withDefense484Only,sol-00372,low,high,False,0.9000,0.7000,+0.2000,0.9000,high,False
203,probe_checkpoints.withRegularGullibility,sol-00004,high,low,False,0.7500,0.8500,-0.1000,0.8500,low,False
204,probe_checkpoints.withRegularGullibility,sol-00004,low,high,False,0.8500,0.7000,+0.1500,0.8500,high,False
205,probe_checkpoints.withDefense484Only,sol-00007,low,high,False,0.8500,0.7500,+0.1000,0.8500,high,False
206,probe_checkpoints.withDefense484Only,sol-00006,low,high,False,0.8500,0.2000,+0.6500,0.8500,high,False
207,probe_checkpoints.withDefense484Only,sol-00002,low,high,False,0.8500,0.4000,+0.4500,0.8500,high,False
208,probe_checkpoints.withDefense484Only,sol-00005,low,high,False,0.8500,0.7000,+0.1500,0.8500,high,False
209,probe_checkpoints.withRegularGullibility,sol-00008,low,high,False,0.8500,0.1500,+0.7000,0.8500,high,False
210,probe_checkpoints.withRegularGullibility,sol-00008,high,high,True,0.8500,0.1500,+0.7000,0.8500,high,False
211,probe_checkpoints.withDefense484Only,sol-00009,high,high,True,0.8500,0.3000,+0.5500,0.8500,high,False
212,probe_checkpoints.withDefense484Only,sol-00011,low,high,False,0.8500,0.3000,+0.5500,0.8500,high,False
213,probe_checkpoints.withRegularGullibility,sol-00011,low,high,False,0.8500,0.7000,+0.1500,0.8500,high,False
214,probe_checkpoints.withDefense484Only,sol-00012,low,high,False,0.8500,0.2000,+0.6500,0.8500,high,False
215,probe_checkpoints.withDefense484Only,sol-00013,low,high,False,0.8500,0.2000,+0.6500,0.8500,high,False
216,probe_checkpoints.withDefense484Only,sol-00015,low,high,False,0.8500,0.2000,+0.6500,0.8500,high,False
217,probe_checkpoints.withDefense484Only,sol-00016,low,high,False,0.8500,0.1500,+0.7000,0.8500,high,False
218,probe_checkpoints.withDefense484Only,sol-00018,low,high,False,0.8500,0.4000,+0.4500,0.8500,high,False
219,probe_checkpoints.withDefense484Only,sol-00021,low,high,False,0.8500,0.7000,+0.1500,0.8500,high,False
220,probe_checkpoints.withRegularGullibility,sol-00026,low,high,False,0.8500,0.5500,+0.3000,0.8500,high,False
221,probe_checkpoints.withDefense484Only,sol-00027,low,high,False,0.8500,0.2000,+0.6500,0.8500,high,False
222,probe_checkpoints.withRegularGullibility,sol-00027,high,low,False,0.2000,0.8500,-0.6500,0.8500,low,False
223,probe_checkpoints.withDefense484Only,sol-00029,low,high,False,0.8500,0.7000,+0.1500,0.8500,high,False
224,probe_checkpoints.withDefense484Only,sol-00029,high,low,False,0.5500,0.8500,-0.3000,0.8500,low,False
225,probe_checkpoints.withRegularGullibility,sol-00029,high,low,False,0.5500,0.8500,-0.3000,0.8500,low,False
226,probe_checkpoints.withDefense484Only,sol-00031,high,low,False,0.2000,0.8500,-0.6500,0.8500,low,False
227,probe_checkpoints.withRegularGullibility,sol-00031,high,low,False,0.3000,0.8500,-0.5500,0.8500,low,False
228,probe_checkpoints.withDefense484Only,sol-00032,high,low,False,0.7500,0.8500,-0.1000,0.8500,low,False
229,probe_checkpoints.withRegularGullibility,sol-00032,high,low,False,0.5500,0.8500,-0.3000,0.8500,low,False
230,probe_checkpoints.withDefense484Only,sol-00033,low,high,False,0.8500,0.3000,+0.5500,0.8500,high,False
231,probe_checkpoints.withDefense484Only,sol-00034,low,high,False,0.8500,0.6000,+0.2500,0.8500,high,False
232,probe_checkpoints.withRegularGullibility,sol-00034,low,low,True,0.7500,0.8500,-0.1000,0.8500,low,False
233,probe_checkpoints.withDefense484Only,sol-00035,low,high,False,0.8500,0.3000,+0.5500,0.8500,high,False
234,probe_checkpoints.withDefense484Only,sol-00036,low,high,False,0.8500,0.5500,+0.3000,0.8500,high,False
235,probe_checkpoints.withRegularGullibility,sol-00036,low,high,False,0.8500,0.5500,+0.3000,0.8500,high,False
236,probe_checkpoints.withDefense484Only,sol-00037,low,high,False,0.8500,0.1500,+0.7000,0.8500,high,False
237,probe_checkpoints.withRegularGullibility,sol-00037,low,high,False,0.8500,0.1500,+0.7000,0.8500,high,False
238,probe_checkpoints.withDefense484Only,sol-00038,low,high,False,0.8500,0.7000,+0.1500,0.8500,high,False
239,probe_checkpoints.withRegularGullibility,sol-00038,low,high,False,0.8500,0.7000,+0.1500,0.8500,high,False
240,probe_checkpoints.withRegularGullibility,sol-00039,low,low,True,0.7000,0.8500,-0.1500,0.8500,low,False
241,probe_checkpoints.withRegularGullibility,sol-00042,low,high,False,0.8500,0.7000,+0.1500,0.8500,high,False
242,probe_checkpoints.withDefense484Only,sol-00045,high,high,True,0.8500,0.7000,+0.1500,0.8500,high,False
243,probe_checkpoints.withRegularGullibility,sol-00045,low,high,False,0.8500,0.7000,+0.1500,0.8500,high,False
244,probe_checkpoints.withDefense484Only,sol-00047,low,high,False,0.8500,0.1000,+0.7500,0.8500,high,False
245,probe_checkpoints.withDefense484Only,sol-00048,low,high,False,0.8500,0.7000,+0.1500,0.8500,high,False
